iter	Passed	Remaining
322	601	1259
323	602	1256
324	603	1253
325	606	1253
326	607	1250
327	608	1247
328	609	1243
329	611	1240
330	612	1237
331	613	1233
332	614	1230
333	615	1227
334	616	1223
335	617	1220
336	618	1217
337	624	1222
338	625	1220
339	627	1217
340	629	1215
341	630	1213
342	632	1210
343	633	1207
344	637	1211
345	639	1208
346	640	1205
347	641	1202
348	642	1198
349	643	1195
350	644	1192
351	645	1189
352	647	1185
353	648	1182
354	649	1179
355	651	1178
356	653	1176
357	654	1173
358	655	1169
359	656	1166
360	657	1163
361	658	1160
362	659	1157
363	660	1154
364	661	1151
365	662	1148
366	664	1145
367	665	1142
368	666	1140
369	669	1139
370	670	1136
371	671	1133
372	672	1130
373	673	1127
374	674	1124
375	676	1121
376	677	1118
377	678	1116
378	679	1113
379	680	1110
380	683	1109
381	684	1107
382	685	1104
383	686	1101
384	687	1098
385	688	1095
386	689	1092
387	690	1089
388	692	1086
389	693	1084
390	694	1081
391	695	1078
392	696	1076
393	698	1074
394	699	1071
395	700	1068
396	701	1066
397	703	1063
398	704	1060
399	705	1057
400	706	1055
401	707	1052
402	708	1049
403	709	1046
404	710	1044
405	712	1042
406	713	1040
407	715	1037
408	716	1034
409	717	1032
410	718	1029
411	719	1026
412	720	1024
413	721	1021
414	722	1018
415	723	1016
416	724	1013
417	725	1010
418	727	1009
419	729	1007
420	730	1004
421	731	1002
422	732	999
423	733	996
424	734	994
425	736	991
426	737	989
427	738	986
428	739	984
429	740	981
430	741	979
431	743	977
432	744	975
433	745	972
434	747	970
435	748	967
436	749	965
437	750	962
438	751	960
439	752	957
440	753	955
441	754	952
442	755	950
443	757	948
444	758	946
445	760	944
446	761	941
447	762	939
448	763	936
449	764	934
450	765	932
451	766	929
452	767	927
453	769	924
454	770	922
455	771	920
456	772	917
457	773	915
458	775	914
459	778	913
460	779	911
